type	latitude	longitude	altitude (m)	name	desc
T	44.108580000	5.209320000	364.9		
T	44.108550000	5.209360000	364.9		
T	44.108420000	5.209510000	365.0		
T	44.108370000	5.209580000	365.0		
T	44.108310000	5.209660000	365.0		
T	44.108130000	5.209870000	365.5		
T	44.108070000	5.209930000	365.7		
T	44.107920000	5.210090000	366.3		
T	44.107750000	5.210290000	366.8		
T	44.107520000	5.210550000	366.1		
T	44.107460000	5.210620000	366.1		
T	44.107400000	5.210680000	366.1		
T	44.107310000	5.210800000	366.2		
T	44.107280000	5.210830000	366.2		
T	44.107020000	5.211120000	366.3		
T	44.106900000	5.211230000	366.9		
T	44.106710000	5.211370000	367.9		
T	44.106530000	5.211520000	368.5		
T	44.106490000	5.211550000	368.6		
T	44.106420000	5.211600000	368.8		
T	44.106340000	5.211680000	369.0		
T	44.106270000	5.211740000	369.2		
T	44.106100000	5.211950000	369.0		
T	44.106050000	5.212030000	368.7		
T	44.105990000	5.212120000	368.3		
T	44.105680000	5.212660000	370.4		
T	44.105600000	5.212820000	371.5		
T	44.104990000	5.213900000	378.0		
T	44.104950000	5.213980000	378.3		
T	44.104900000	5.214050000	378.4		
T	44.104500000	5.214790000	380.9		
T	44.104450000	5.214860000	381.0		
T	44.104430000	5.214900000	381.0		
T	44.104410000	5.214920000	381.1		
T	44.104390000	5.214960000	381.2		
T	44.104320000	5.215070000	382.0		
T	44.104130000	5.215350000	384.3		
T	44.104030000	5.215480000	385.1		
T	44.103890000	5.215680000	386.4		
T	44.103810000	5.215830000	387.0		
T	44.103800000	5.215850000	387.1		
T	44.103720000	5.216000000	387.6		
T	44.103650000	5.216180000	388.0		
T	44.103610000	5.216270000	388.0		
T	44.103590000	5.216360000	387.8		
T	44.103530000	5.216550000	386.8		
T	44.103500000	5.216650000	386.3		
T	44.103440000	5.216840000	386.4		
T	44.103390000	5.217040000	386.7		
T	44.103350000	5.217250000	387.2		
T	44.103300000	5.217460000	388.6		
T	44.103250000	5.217670000	389.5		
T	44.103210000	5.217880000	390.4		
T	44.103170000	5.218090000	391.0		
T	44.103060000	5.218640000	391.1		
T	44.103000000	5.218960000	392.1		
T	44.102950000	5.219410000	394.4		
T	44.102940000	5.219840000	396.0		
T	44.102950000	5.220070000	396.8		
T	44.102960000	5.220280000	397.3		
T	44.102970000	5.220480000	398.1		
T	44.102980000	5.220680000	398.9		
T	44.102990000	5.220820000	399.5		
T	44.102990000	5.220820000	399.5		
T	44.103060000	5.220940000	400.4		
T	44.103090000	5.221000000	400.7		
T	44.103350000	5.221970000	402.2		
