type	latitude	longitude	altitude (m)	name	desc
T	45.766890000	3.106850000	389.6		
T	45.766770000	3.107000000	389.2		
T	45.766700000	3.107090000	389.0		
T	45.766560000	3.107320000	388.7		
T	45.766500000	3.107410000	388.6		
T	45.766490000	3.107410000	388.6		
T	45.766460000	3.107520000	388.4		
T	45.766210000	3.107890000	388.2		
T	45.766090000	3.108060000	388.0		
T	45.765980000	3.108230000	387.9		
T	45.765890000	3.108370000	387.8		
T	45.765760000	3.108550000	387.6		
T	45.765690000	3.108660000	387.6		
T	45.765610000	3.108780000	387.6		
T	45.765510000	3.108860000	387.9		
T	45.765410000	3.109020000	388.1		
T	45.765340000	3.109120000	388.4		
T	45.765220000	3.109300000	389.1		
T	45.765170000	3.109390000	389.6		
T	45.765040000	3.109600000	390.8		
T	45.764970000	3.109710000	391.6		
T	45.764970000	3.109710000	391.6		
T	45.764930000	3.109770000	392.1		
T	45.764870000	3.109870000	392.8		
T	45.764740000	3.110070000	394.3		
T	45.764600000	3.110320000	395.9		
T	45.764440000	3.110570000	397.8		
T	45.764350000	3.110720000	399.0		
T	45.764330000	3.110760000	399.3		
T	45.764310000	3.110820000	399.6		
T	45.764280000	3.110890000	400.1		
T	45.764260000	3.110940000	400.4		
T	45.764240000	3.111040000	400.8		
T	45.764220000	3.111110000	401.2		
T	45.764200000	3.111190000	401.6		
T	45.764200000	3.111250000	401.7		
T	45.764190000	3.111310000	402.0		
T	45.764130000	3.111960000	402.4		
T	45.764110000	3.112320000	401.6		
T	45.764050000	3.113060000	401.3		
T	45.763980000	3.113940000	400.6		
T	45.763890000	3.115070000	399.8		
T	45.763810000	3.116080000	397.3		
T	45.763750000	3.116760000	396.3		
T	45.763730000	3.117030000	395.9		
T	45.763720000	3.117190000	395.6		
T	45.763700000	3.117340000	395.4		
T	45.763660000	3.117500000	395.2		
T	45.763630000	3.117650000	394.4		
T	45.763580000	3.117820000	393.4		
T	45.763520000	3.117970000	392.5		
T	45.763490000	3.118040000	392.1		
T	45.763450000	3.118120000	391.6		
T	45.763390000	3.118240000	390.7		
