type	latitude	longitude	altitude (m)	name	desc
T	51.052320000	3.656530000	7.5		
T	51.052210000	3.656360000	7.0		
T	51.052120000	3.656240000	6.8		
T	51.051570000	3.655510000	5.5		
T	51.051420000	3.655320000	5.1		
T	51.051340000	3.655230000	5.0		
T	51.051240000	3.655080000	5.2		
T	51.048250000	3.651240000	10.9		
T	51.048170000	3.651130000	11.0		
T	51.048160000	3.651120000	11.0		
T	51.047970000	3.650860000	9.2		
T	51.047950000	3.650820000	8.9		
T	51.047890000	3.650750000	8.6		
T	51.047760000	3.650580000	8.1		
T	51.046610000	3.649120000	6.8		
T	51.046450000	3.648920000	6.2		
T	51.045680000	3.647930000	6.4		
T	51.044440000	3.646410000	8.0		
T	51.044280000	3.646190000	8.0		
T	51.043990000	3.645800000	9.3		
T	51.043870000	3.645630000	10.0		
T	51.043210000	3.644560000	5.0		
T	51.042910000	3.644030000	7.5		
T	51.042890000	3.643990000	7.6		
T	51.042800000	3.643790000	8.4		
T	51.042630000	3.643440000	9.0		
T	51.042400000	3.642960000	7.6		
T	51.042160000	3.642370000	6.6		
T	51.042070000	3.642150000	6.0		
T	51.041920000	3.641770000	6.6		
T	51.041710000	3.641170000	7.0		
T	51.041590000	3.640790000	6.7		
T	51.040980000	3.638850000	8.0		
T	51.040910000	3.638690000	7.0		
T	51.040760000	3.638200000	6.0		
T	51.039030000	3.633580000	9.0		
T	51.038850000	3.633090000	8.8		
T	51.038740000	3.632760000	8.5		
T	51.038650000	3.632550000	8.7		
T	51.038500000	3.632090000	8.5		
T	51.038360000	3.631550000	7.6		
T	51.038310000	3.631190000	6.3		
T	51.038280000	3.630900000	6.8		
T	51.038240000	3.630450000	6.9		
T	51.038290000	3.629660000	6.0		
T	51.038290000	3.629460000	6.0		
T	51.038320000	3.629300000	6.5		
T	51.038470000	3.628640000	7.9		
T	51.038570000	3.628140000	8.7		
T	51.038600000	3.628030000	9.1		
T	51.038760000	3.627350000	8.7		
T	51.038960000	3.626380000	8.3		
T	51.039070000	3.625880000	9.5		
T	51.039220000	3.625250000	11.0		
T	51.039370000	3.624540000	11.0		
T	51.039410000	3.624140000	12.0		
T	51.039400000	3.624000000	12.0		
T	51.039360000	3.623770000	11.8		
T	51.039310000	3.623530000	12.0		
T	51.039230000	3.623280000	12.5		
T	51.039110000	3.623020000	12.8		
T	51.039040000	3.622900000	12.5		
T	51.038940000	3.622760000	12.2		
T	51.038870000	3.622660000	12.5		
T	51.038860000	3.622650000	12.5		
T	51.038780000	3.622540000	13.2		
T	51.038730000	3.622480000	13.6		
T	51.038680000	3.622410000	14.0		
T	51.038560000	3.622250000	14.7		
T	51.037970000	3.621450000	12.6		
T	51.037760000	3.621180000	11.1		
T	51.037250000	3.620420000	11.4		
T	51.037220000	3.620320000	11.2		
T	51.037210000	3.620210000	10.8		
T	51.037170000	3.619590000	9.2		
T	51.037120000	3.618710000	10.0		
T	51.037110000	3.618610000	10.4		
T	51.037110000	3.618510000	10.8		
T	51.037090000	3.618380000	11.3		
T	51.037050000	3.618170000	11.3		
T	51.037010000	3.617990000	11.0		
T	51.036970000	3.617840000	11.0		
T	51.036940000	3.617710000	10.8		
T	51.036890000	3.617540000	10.3		
T	51.036660000	3.616810000	10.0		
T	51.036650000	3.616770000	10.1		
T	51.036290000	3.615530000	8.4		
T	51.036210000	3.615290000	8.6		
T	51.035680000	3.613770000	7.8		
T	51.035570000	3.613400000	7.1		
T	51.035290000	3.612350000	6.0		
T	51.035070000	3.611470000	6.6		
T	51.034810000	3.610610000	4.9		
T	51.034080000	3.608370000	5.6		
T	51.033870000	3.607800000	8.1		
T	51.033850000	3.607570000	8.9		
T	51.033800000	3.607400000	9.6		
T	51.033680000	3.607030000	10.5		
T	51.033580000	3.606750000	11.0		
T	51.033490000	3.606550000	10.8		
T	51.033370000	3.606340000	10.1		
T	51.033200000	3.606090000	9.9		
T	51.033010000	3.605880000	9.3		
T	51.032660000	3.605560000	10.0		
T	51.032320000	3.605350000	10.9		
T	51.032020000	3.605190000	10.3		
T	51.031890000	3.605130000	10.3		
T	51.031520000	3.604970000	10.4		
T	51.031400000	3.604940000	9.8		
T	51.030990000	3.604700000	9.0		
T	51.029330000	3.603840000	6.0		
T	51.028860000	3.603620000	4.3		
T	51.028630000	3.603530000	6.8		
T	51.028540000	3.603500000	7.5		
T	51.027500000	3.603080000	7.3		
T	51.027210000	3.603010000	6.9		
T	51.025330000	3.602590000	8.4		
T	51.025210000	3.602530000	8.9		
T	51.025080000	3.602430000	9.0		
T	51.024330000	3.601800000	6.8		
T	51.024140000	3.601620000	6.1		
T	51.023750000	3.601170000	8.5		
T	51.023720000	3.601140000	8.6		
T	51.023670000	3.601060000	8.7		
T	51.023140000	3.600250000	7.3		
T	51.022920000	3.599900000	7.8		
T	51.022420000	3.599160000	8.7		
T	51.022150000	3.598750000	7.9		
T	51.021540000	3.597750000	7.0		
T	51.021500000	3.597690000	7.0		
T	51.021420000	3.597570000	7.0		
T	51.020220000	3.595980000	7.5		
T	51.019400000	3.594860000	14.8		
T	51.019020000	3.594340000	14.2		
